Company,Time,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
PM,2012-12-01,209.0,-1108.0,40.0,238.0,-414.0,-1606.4,-1572.6,-0.53,5.16
HES,2011-12-01,-422.0,454.0,-1307.0,-650.0,-1503.0,-2039.1,-2025.4,-2.86,-19.74
SIRI,2019-12-01,-262.0,137.0,376.0,-444.0,69.0,242.7,259.7,0.03,1.44
SPGI,2013-12-01,939.0,-728.0,2444.0,-851.0,857.0,509.0,495.3,-2.67,23.53
MKTX,2015-12-01,21.2,14.5,-25.0,4.8,-5.4,8.6,8.6,0.39,39.88
GTN,2016-12-01,23.0,103.4,-272.9,330.9,161.4,129.2,141.8,1.11,-5.45
V,2013-09-01,2836.0,-1987.0,1250.0,909.0,165.0,1084.9,1084.9,-0.76,14.2
BTI,2011-12-01,322.2,96.5,-404.1,-266.0,-693.6,-595.5,-612.8,0.04,8.59
VALE,2015-12-01,-11520.1,-6487.9,3334.2,4573.6,1593.8,-3210.1,-3525.9,-0.65,-4.35
INT,2015-12-01,-50.0,306.4,152.3,-186.5,270.0,328.0,330.3,4.37,-8.47
SKM,2016-12-01,98.2,305.2,407.7,-46.0,665.8,110.2,102.5,-0.65,0.75
FNF,2013-12-01,-213.0,-136.0,250.0,288.0,402.0,-159.3,-153.7,-0.98,6.42
VFC,2017-12-01,-459.2,-5.9,-663.9,-286.1,-946.2,-823.6,-819.1,0.15,19.43
CCL,2012-11-01,-614.0,-767.0,874.0,-97.0,-6.0,68.2,50.1,-0.5,5.39
KSU,2015-12-01,-19.1,3.2,109.9,-243.0,-129.9,-81.5,-75.8,1.28,-47.36
AFL,2015-12-01,-418.0,226.0,-656.0,-2040.0,-2423.0,-4146.9,-4168.2,0.61,-0.6
WM,2016-12-01,429.0,475.0,-321.0,1101.0,1258.0,422.8,419.0,0.89,17.54
ORCL,2019-05-01,7496.0,-835.0,32182.0,-32074.0,-942.0,387.9,423.5,0.24,3.88
WBA,2013-08-01,421.0,-130.0,3864.0,-2666.0,1068.0,487.9,479.7,-0.02,12.31
AWK,2013-12-01,10.9,-59.6,-670.6,723.0,-7.2,-662.1,-667.6,-0.62,5.13
WLTW,2013-12-01,811.0,36.0,52.0,154.0,232.0,-20.9,-22.1,0.76,29.88
KSU,2012-12-01,47.0,35.2,-41.5,19.5,13.2,207.1,189.3,-0.08,15.47
RTX,2011-12-01,606.0,684.0,2480.0,-852.0,2243.0,169.8,138.0,0.76,-3.54
DISH,2018-12-01,-523.6,-261.7,4546.3,-1031.3,3253.3,2830.7,2800.6,9.68,-22.78
SJI,2015-12-01,8.1,25.4,-12.3,-30.4,-17.4,99.3,100.6,0.44,-5.94
CCL,2019-11-01,-162.0,-74.0,-1763.0,805.0,-1039.0,-1543.7,-1536.3,-2.47,-15.21
SLB,2014-12-01,-1294.0,531.0,1327.0,-3697.0,-1909.0,1971.3,1957.7,0.65,-4.7
GPS,2012-01-01,-371.0,-381.0,-25.0,1525.0,1111.0,-408.7,-362.5,-0.33,-0.29
AMD,2018-12-01,370.0,22.0,-116.0,61.0,-33.0,-192.2,-197.4,-0.02,8.18
DHR,2015-12-01,759.0,43.4,-11506.7,9268.4,-2105.2,-844.1,-815.9,0.02,5.44
NRG,2016-12-01,5608.0,559.0,771.0,-336.0,167.0,309.2,102.0,3.21,0.49
J,2015-10-01,-25.1,-237.1,1422.7,-858.2,252.0,95.0,100.1,-1.44,-8.68
NVR,2017-12-01,112.2,177.4,-4.8,135.8,308.3,27.1,28.7,51.02,1839.22
HSY,2016-12-01,207.0,-242.9,-118.2,332.6,-21.3,-400.9,-411.8,-0.64,14.16
L,2015-12-01,-331.0,557.0,-465.0,-83.0,6.0,-1574.8,-1561.1,4.88,-3.62
OMC,2015-12-01,-10.1,723.0,3.4,-198.2,539.5,416.7,419.1,3.2,-1.81
DVA,2014-12-01,89.7,-313.9,-400.8,318.0,-393.5,-220.1,-232.3,-1.64,12.37
TAC,2012-12-01,-885.9,-157.0,-453.3,574.5,-35.9,-177.6,-155.8,-1.93,-5.08
CNC,2013-12-01,163.0,103.0,-154.0,-25.0,-76.0,166.8,171.1,0.49,4.49
TPR,2013-06-01,-4.5,192.3,-311.1,52.8,-71.8,6.8,7.7,0.55,-1.39
MMM,2013-12-01,215.0,517.0,1830.0,-3188.0,-966.0,635.6,619.4,0.59,47.4
LBTYA,2011-12-01,-1160.9,407.1,-2636.4,-478.9,-2565.3,-256.9,-134.2,1.62,2.33
XOM,2019-12-01,-6500.0,-6298.0,-6638.0,12828.0,182.0,-8991.5,-8951.5,-2.6,1.59
INT,2019-12-01,51.2,411.3,-336.5,52.2,135.0,-13.9,-10.6,6.02,22.01
MKC,2012-11-01,33.6,115.0,428.5,-512.1,22.0,166.1,168.2,0.77,15.86
MMM,2015-12-01,-123.0,-206.0,-2221.0,2955.0,585.0,-1384.6,-1380.3,0.02,-13.68
IPG,2018-12-01,64.5,-316.7,-2295.3,2858.1,182.0,-235.1,-215.7,-0.85,0.47
QCOM,2019-09-01,9350.0,3378.0,-3187.0,25114.0,25314.0,-3790.2,-3878.4,3.15,4.25
RE,2011-12-01,-691.3,-200.8,3.1,419.9,179.4,-497.8,-508.0,-2.88,-0.73
IFF,2014-12-01,61.0,110.8,-115.9,14.7,-8.0,-90.5,-90.9,1.28,15.38
NGS,2017-12-01,13.3,-14.3,-9.4,0.3,-23.5,-27.8,-27.8,-1.93,-5.95
EOG,2017-12-01,3679.3,1906.2,-2734.5,-793.0,-1647.1,-867.6,-872.2,0.65,6.81
FE,2014-12-01,-93.0,51.0,-266.0,36.0,-179.0,-264.3,-219.9,-1.44,6.01
SIRI,2014-12-01,116.0,150.4,604.4,-355.7,399.0,86.8,127.6,0.05,0.01
CLPHY,2011-12-01,-133.4,256.2,-1931.8,1992.9,283.7,-483.9,-380.8,-0.15,0.39
A,2015-10-01,-148.0,591.0,-170.0,-972.0,-568.0,1850.8,1823.2,2.1,-1.77
RTX,2014-12-01,499.0,444.0,-967.0,1679.0,1041.0,-1346.6,-1304.8,0.63,0.75
ULTA,2015-01-01,54.3,68.9,-173.3,-24.9,-129.3,76.7,76.7,0.7,42.25
ALK,2019-12-01,332.0,527.0,-160.0,-166.0,201.0,682.0,675.8,6.41,6.9
URI,2016-12-01,-19.0,-54.0,323.0,-189.0,112.0,470.2,448.6,3.16,33.04
BLK,2012-12-01,121.0,-586.0,-62.0,1541.0,961.0,-1342.5,-1318.1,-2.05,28.47
GOOGL,2013-12-01,1996.0,2040.0,-623.0,-2086.0,-675.0,-2728.8,-2731.4,-3.41,206.87
CE,2018-12-01,364.0,755.0,42.0,-814.0,-75.0,56.5,56.4,5.2,-17.11
APH,2018-12-01,554.5,-31.5,-61.6,-930.0,-1124.3,55.5,61.5,-0.34,-6.78
JWN,2018-02-01,83.0,-258.0,107.0,-87.0,-238.0,-110.4,-98.5,-0.68,7.09
NAT,2016-12-01,-119.1,-46.6,5.6,159.0,123.1,-19.6,-19.6,-0.51,-7.07
DE,2018-10-01,209.0,-374.0,-6514.0,-3410.0,-10429.0,-4564.4,-4540.7,-2.26,2.56
CRM,2015-01-01,-30.5,305.9,1733.2,-1916.4,92.1,152.0,159.4,0.26,-4.08
GTN,2012-12-01,19.1,51.2,-1.4,-43.7,6.1,42.9,41.6,0.71,0.58
WRB,2011-12-01,-55.2,219.0,-241.6,163.9,141.3,70.9,74.3,1.18,4.21
LYV,2012-12-01,-80.2,231.4,-51.8,24.5,205.3,162.1,160.5,1.08,1.0
ORLY,2013-12-01,84.6,-343.6,-71.4,511.5,96.6,-439.9,-434.6,-3.16,39.29
NYT,2016-12-01,-34.1,-75.2,155.2,-19.0,61.9,-75.4,-77.0,-0.47,-0.12
STX,2017-06-01,524.0,236.0,752.0,1774.0,2765.0,337.3,355.4,1.35,6.72
