Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price
DVA,2019-12-01,17311.4,13811.8,3499.6,125.6,16.95,-4789.9,-38.06,11175.9,10062.0,11388.5,1755.5,74.35,5.29,4.15,0,1769.8,1755.5,635.8,811.0,2496.2,2995.3,-4696.5,793.3,5199.3,5471.3,11.29,75.03
CVS,2012-12-01,66221.0,28568.0,37653.0,1231.2,30.59,1505.0,1.22,9828.0,8448.0,123120.0,7210.0,96.87,3.04,3.27,0.65,7696.0,7210.0,4160.1,3864.0,6671.0,-1849.0,-4860.0,-38.0,4710.6,5061.3,3.65,48.35
NEM,2014-12-01,24916.0,11827.0,13089.0,498.9,20.60,10060.0,20.17,6646.0,4170.0,6819.0,1518.0,13.67,1.02,1.56,0.23,1586.0,1518.0,777.6,508,1438.0,-507.0,-65.0,919,980.5,1186.8,0.80,18.44
TTWO,2019-03-01,4243.1,2202.5,2040.6,106.5,19.23,982.3,9.26,0.0,-1571.0,2668.4,209.1,23.58,2.95,1.30,0,233,209.1,147,333.8,843.5,-223.6,-463.7,145.6,516.8,521.7,6.86,94.37
ADS,2018-12-01,30387.7,28055.6,2332.1,53.0,43.67,1072.4,20.08,25170.8,21353.4,5666.6,1371.4,103.22,17.54,13.83,2.28,1484.3,1371.4,759.4,963.1,2754.9,-1872.0,-1217.9,-347.0,418.2,468.6,46.54,150.08
MU,2011-09-01,14752.0,4900.0,9852.0,987.6,8.61,8056.0,8.18,2001.0,-159.0,8788.0,669,8.89,0.17,0.23,0,748,669,228.3,167,2484.0,-2042.0,-1195.0,-753.0,126.6,147.1,-0.07,5.04
ALK,2015-12-01,6530.0,4119.0,2411.0,124.7,19.26,2411.0,19.26,701,-627.0,5598.0,1330.0,43.61,6.61,6.55,0.80,1330.0,1330.0,840.6,848,1584.0,-930.0,-688.0,-34.0,557.3,562.3,5.87,80.51
KMX,2019-02-01,18717.9,15360.8,3357.0,166.2,20.04,3357.0,20.04,14172.9,14125.9,19146.0,1189.0,109.74,4.83,3.99,0,1189.0,1189.0,695.5,842.4,163,-308.5,186,40.5,606.6,653.9,-0.81,62.1
MRWSY,2011-01-01,14493.5,5907.3,8586.1,2644.6,3.25,8294.7,3.14,1666.5,1305.3,26105.3,1443.2,9.89,0.38,0.33,0.15,1449.5,1443.2,866.3,1001.2,1422.6,-922.0,-527.5,-26.9,574.3,608.9,0.18,21.14
ETR,2018-12-01,48275.1,39211.4,9063.7,189.6,46.78,8467.1,44.79,18132.6,17651.7,11009.5,1140.7,60.69,4.68,1.66,3.58,1140.7,1140.7,302,848.7,2385.2,-4106.0,1420.4,-300.3,-2047.7,-1558.7,-9.68,86.07
TTWO,2012-03-01,1149.4,553.7,595.7,84.5,7.05,246.5,2.92,316.3,-103.9,825.8,-84.3,9.91,-1.31,-0.80,0,-82.6,-84.3,-66.3,-108.8,-85.0,-14.2,243.4,139.9,75.7,75.3,-1.12,15.38
WU,2010-12-01,7929.2,7346.5,582.7,646.8,0.89,-1842.4,-2.82,3291.5,1126.1,5192.7,1359.6,7.79,1.37,1.13,0.25,1474.0,1359.6,752.9,909.9,994.4,-64.6,-457.6,472.2,754.5,860.7,1.32,18.57
TDS,2017-12-01,9295.0,4402.0,4893.0,111.1,38.46,1249.0,11.25,2457.0,1738.0,5044.0,152,45.44,1.38,0.74,0.62,163,152,82.3,153,776,-981.0,-77.0,-282.0,128.8,235,0.82,27.8
CMC,2011-08-01,3683.1,2522.5,1160.6,115.5,10.04,1050.4,9.09,1403.3,1180.9,7666.8,128.6,66.67,-1.13,0.32,0.48,138.5,128.6,36.5,-129.6,27.7,-61.5,-147.0,-176.9,-58.2,-14.6,-0.40,11.75
AOS,2017-12-01,3197.4,1552.5,1644.9,171.5,9.58,819.5,4.77,410.4,-409.6,2996.7,508.7,17.36,1.72,1.89,0.56,522.4,508.7,325.5,296.5,326.4,-158.1,-152.1,16.2,185.8,192.1,1.34,61.28
XOM,2013-12-01,346808.0,166313.0,180495.0,4321.2,40.14,174003.0,40.14,22699.0,18055.0,390247.0,40301.0,88.31,7.37,7.71,2.46,40301.0,40301.0,34058.9,32580.0,44914.0,-34201.0,-15476.0,-4938.0,5193.5,5199.1,2.54,101.2
