Company,Embedding_Dim0,Embedding_Dim1,Embedding_Dim2,Embedding_Dim3,Embedding_Dim4
A,-0.98444581,-2.001506329,-1.678374887,-2.384308815,-0.760810792
AAL,1.170934439,-4.180463791,-1.888626337,-1.558532953,0.380895138
AAP,2.38304162,-4.057206154,0.638303936,-0.437526286,-2.142050743
AAPL,-3.583967447,-1.297430515,-0.007452087,-0.132551685,-0.285242021
ABC,-0.541675866,-1.971371055,-0.55381155,-2.174437284,-2.152651072
ABMD,0.303431123,-1.136804938,-0.742423594,-0.837080836,-0.733421743
ABT,0.278259218,-1.212483525,-0.833916843,-0.960424423,-0.727383077
ACN,-1.420132637,0.137852639,-0.83003062,0.007577687,0.184249759
ADBE,-3.561158895,0.576838613,-1.69453752,3.570154667,0.631763458
ADI,-3.28085494,-1.233374238,0.220957145,-0.226648346,-1.310825586
ADM,2.108380318,-3.23898983,-1.024833679,1.969302416,1.080623507
ADP,-2.540393829,0.24213779,-1.956670761,-0.731712103,-0.761670232
ADS,-3.051583529,0.483291358,-1.816283941,1.258551955,0.457946837
ADSK,-2.454853296,0.008891178,0.873128951,3.724737406,-2.545810699
AEE,-0.387189925,1.448556066,-2.202890158,1.376450777,-2.229807854
AEP,-0.83949852,1.457354546,-2.322788715,1.189981461,-2.217277288
AES,0.730987549,2.267317295,-3.668979645,2.81855011,-3.830591202
AFL,0.60250169,-1.52868247,-2.075638056,-3.134598255,-2.718085527
AGI,-1.977047205,0.930156589,-0.874426603,3.757974863,-1.192758203
AIG,-1.666727185,-0.017051501,-4.858710289,-3.134825468,-2.279400349
AIZ,-1.57508719,-0.004382426,-4.726016521,-3.103488684,-2.305015802
AJG,-1.519013166,-0.163356513,-4.810152531,-3.178601742,-2.208823919
AKAM,-5.247894764,0.820352972,-3.035022974,-0.005259347,-1.704992414
ALB,1.384159923,0.035427261,-1.520861626,0.677287221,-1.019713402
ALGN,-0.357233882,-2.563224792,-1.262786508,-2.33663106,-1.172473431
ALK,1.079007983,-4.007388115,-1.875412464,-1.604307532,0.236287981
ALL,0.764702618,0.506434977,-1.908335567,-1.14547348,-3.142948627
ALXN,2.916786432,-1.211759806,-1.565130115,-0.704799116,-2.954238415
AMAT,-4.258646965,-1.653444171,0.317602754,-0.322674125,-1.78636086
AMD,-3.251338482,-1.251668572,0.258863658,-0.172622427,-1.326748967
AME,2.990217924,0.706917346,-2.728465557,2.075890303,-1.328861475
AMGN,2.973706245,-1.235310316,-1.528420329,-0.563035548,-2.793453693
AMP,-1.793518424,-1.732575178,0.251420587,-1.991842747,-3.818851709
AMX,-4.792599201,-1.608467102,-1.654603481,-0.361692756,0.985321522
AMZN,-2.054247379,-1.290289283,-0.127402216,0.833349288,1.311894655
ANSS,-2.359038591,-0.059157073,0.9139871,3.73250556,-2.546013594
ANTM,0.266199619,-2.505885839,-1.542641401,-2.100698233,-0.763002217
AOS,1.226348281,0.520530999,-0.124215573,2.42095232,-3.581121206
APD,0.04960157,0.177366778,-6.72611618,-1.167836785,-0.882219255
APH,-4.364037991,-1.247816443,-2.314126015,1.966822743,3.116096497
ARTNA,3.06491375,-1.416591644,-1.894730926,3.736664772,0.317527741
ASH,1.448131561,0.05430574,-1.545089364,0.741643846,-1.183069706
