Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
SAM,2013-12-01,84.6,27.6,57.0,0.0,4.4,54.6,4.21,0.0,24.9,158.9,19.0,12.55,0.87,0.92,0.0,19.0,19.0,11.5,10.9,4.7,-36.0,-18.6,-49.9,-38.9,-38.9,-2.43,107.34
CMS,2019-12-01,2308.0,2045.0,263.0,0.5,0.9,263.0,0.9,1516.0,1529.0,-28.0,78.0,-0.17,0.07,0.08,0.1,78.0,78.0,24.3,23.0,87.0,-210.0,134.0,11.0,114.0,152.7,0.2,13.19
HON,2019-12-01,906.0,558.0,348.0,-16.5,1.09,702.0,0.93,493.0,987.0,-5093.0,-398.0,-5.35,-0.58,-0.05,0.3,-378.0,-398.0,-179.0,-622.0,463.0,-1560.0,-1568.0,-2448.0,-816.5,-822.8,0.85,44.88
FFIV,2011-09-01,206.3,104.6,101.7,-1.4,1.48,99.6,1.4,0.0,-114.1,269.8,120.7,3.2,1.09,0.91,0.0,120.5,120.7,75.1,90.2,103.3,98.5,-209.9,-9.9,71.8,71.8,0.94,-32.76
CCL,2018-11-01,1623.0,1396.0,227.0,-22.0,1.39,293.0,1.31,1120.0,533.0,1371.0,146.0,2.38,0.84,0.18,0.35,146.0,146.0,91.9,546.0,227.0,-392.0,992.0,815.0,-906.3,-908.7,-0.75,-5.35
NEE,2017-12-01,7970.0,3770.0,4200.0,3.2,7.94,3876.0,7.92,4185.0,3763.0,1035.0,1685.0,1.78,5.2,2.08,0.45,1685.0,1685.0,1003.8,2474.0,89.0,-872.0,464.0,-303.0,-1651.4,-1363.8,-2.08,36.73
DOV,2014-12-01,-1824.9,-148.2,-1676.7,-7.0,-8.95,-2170.3,-13.06,202.5,324.8,597.6,93.9,4.73,-1.21,0.44,0.1,115.1,93.9,56.6,-227.9,-176.7,-333.4,423.0,-126.1,3940.9,3945.4,-1.04,-6.75
AGI,2019-12-01,124.3,31.3,93.0,2.3,0.24,93.0,0.24,-2.2,6.0,31.3,148.6,0.08,0.44,0.24,0.02,148.6,148.6,96.2,168.7,46.5,-71.0,-8.2,-28.4,-29.9,-30.3,0.01,2.42
RL,2017-04-01,-561.1,-117.2,-443.9,-1.9,-4.42,-406.5,-4.29,-161.4,-428.7,-752.4,-116.6,-6.48,-5.85,-0.57,0.0,-116.2,-116.6,-61.4,-495.7,-64.1,368.2,-35.4,245.1,130.7,125.4,1.05,-12.49
IP,2013-12-01,-625.0,-2436.0,1811.0,-2.4,4.24,2129.0,4.92,-652.0,-1152.0,1631.0,140.0,2.76,1.33,0.15,0.16,140.0,140.0,83.9,601.0,61.0,4031.0,-893.0,3192.0,1297.1,1251.5,0.49,9.06
LNC,2016-12-01,9719.0,8858.0,861.0,-15.8,8.13,865.0,7.4,223.0,647.0,-242.0,95.0,2.77,0.49,0.34,0.19,95.0,95.0,22.5,38.0,-971.0,557.0,763.0,349.0,991.5,1028.3,-3.52,16.01
TSCO,2012-12-01,112.0,95.3,16.7,-4.2,0.3,16.7,0.3,0.0,38.2,431.4,83.6,3.31,0.39,0.39,0.14,83.6,83.6,52.9,53.8,124.2,32.3,-114.4,42.1,207.8,207.1,0.98,9.1
GTN,2014-12-01,537.2,495.0,42.2,0.0,0.72,-377.6,-6.47,393.5,376.2,161.8,76.0,2.77,0.51,0.64,0.0,83.9,76.0,37.2,29.8,74.0,-441.4,382.3,14.9,62.1,71.3,1.13,-3.68
AZO,2013-08-01,626.5,765.7,-139.3,-2.9,-7.39,-256.2,-11.46,422.8,389.8,543.6,144.2,32.15,4.24,4.14,0.0,144.2,144.2,84.2,86.1,191.0,-152.5,-3.6,33.6,154.5,160.3,5.98,58.3
CTXS,2017-12-01,-570.0,1046.2,-1616.2,-20.2,-9.78,-1613.2,-10.75,779.3,594.7,88.6,13.8,1.09,-3.6,0.17,0.0,26.2,13.8,16.0,-556.8,-207.5,420.3,-656.4,-430.2,210.2,213.1,-1.04,16.88
HPQ,2014-10-01,-2470.0,-1941.0,-529.0,-74.7,0.24,488.0,0.13,-3114.0,-6056.0,-55647.0,-3711.0,-27.97,0.02,-1.09,0.06,-4955.0,-3711.0,-2176.9,-100.0,725.0,11.0,1372.0,2108.0,-3604.5,-3766.4,0.16,5.23
ED,2017-12-01,-144.0,-1263.0,1119.0,5.3,2.86,1113.0,2.86,778.0,757.0,-42.0,139.0,-1.02,0.83,0.2,0.08,146.0,139.0,88.7,280.0,-92.0,1240.0,-988.0,160.0,1426.0,1447.8,5.09,11.27
NEE,2014-12-01,5299.0,3171.0,2128.0,8.1,3.49,1607.0,2.9,55.0,-84.0,1885.0,816.0,3.5,1.17,0.94,0.26,818.0,816.0,450.3,557.0,398.0,-238.0,-130.0,30.0,181.5,269.0,0.23,20.67
HAIN,2016-06-01,-91.3,-28.1,-63.2,0.9,-0.75,53.8,0.52,18.8,57.8,-216.7,12.0,-2.46,-1.16,-0.02,0.0,11.7,12.0,0.3,-117.6,32.4,-83.0,-28.4,-82.2,19.3,18.6,0.33,-16.11
ROK,2012-09-01,351.6,247.9,103.7,-2.6,0.93,116.0,0.89,157.0,-108.0,259.0,101.8,2.19,0.32,0.47,0.27,102.6,101.8,62.6,39.2,77.6,-342.3,15.2,-260.5,257.7,258.1,0.45,13.55
AEE,2015-12-01,1351.0,1118.0,233.0,0.0,0.96,233.0,0.96,657.0,370.0,47.0,74.0,0.2,0.18,0.13,0.05,74.0,74.0,29.3,44.0,466.0,-259.0,105.0,312.0,-53.5,-44.7,1.47,-2.9
CMI,2013-12-01,2180.0,1284.0,896.0,-2.9,5.44,903.0,5.35,965.0,-268.0,-33.0,-183.0,0.94,-0.76,-0.67,0.45,-161.0,-183.0,-141.3,-162.0,557.0,136.0,746.0,1445.0,660.0,669.6,3.22,32.62
AUY,2017-12-01,-38.4,94.3,-132.7,0.7,-0.21,-167.3,-0.18,279.0,223.8,16.1,410.1,0.01,0.12,0.29,0.0,412.7,410.1,275.2,119.4,-180.8,-223.6,485.4,80.3,-249.0,-254.0,-0.31,0.31
QCOM,2013-09-01,2504.0,-38.0,2542.0,-14.6,1.77,2891.0,1.91,-60.0,-2652.0,5745.0,2095.0,3.25,0.41,0.75,0.27,2121.0,2095.0,1319.9,744.0,2780.0,5299.0,-4088.0,3990.0,-6.7,-48.6,1.74,4.85
KMX,2020-02-01,2364.3,1952.5,411.9,-3.6,3.07,411.9,3.07,1760.7,1749.4,2278.1,49.3,20.23,0.56,0.41,0.0,49.3,49.3,30.1,46.0,-399.6,-80.9,501.0,20.5,-178.2,-173.6,-2.64,25.21
XLNX,2019-03-01,90.8,-410.4,501.1,0.5,1.95,148.9,0.57,-478.8,-207.0,592.0,237.4,2.22,1.66,0.59,0.04,224.5,237.4,154.7,425.8,271.2,-1638.7,-479.9,-1847.4,334.6,340.5,0.87,54.55
F,2011-12-01,13661.0,-2052.0,15713.0,18.0,4.13,15703.0,4.13,-4500.0,-6941.0,6651.0,-897.0,-1.64,3.43,-0.05,0.0,-982.0,-897.0,290.8,13652.0,-1693.0,-9949.0,20180.0,8432.0,-13449.9,-14068.6,-0.69,-5.82
GILD,2015-12-01,17052.0,13771.0,3281.0,-122.6,2.74,3921.0,2.87,9651.0,5172.0,7749.0,6928.0,5.94,4.42,3.12,1.29,6940.0,6928.0,4211.9,6007.0,8432.0,-10652.0,-2859.0,-5090.0,6251.5,6424.0,5.94,6.93
DTE,2017-12-01,1726.0,1235.0,491.0,0.0,2.81,469.0,2.62,1133.0,1159.0,1977.0,229.0,11.04,1.48,0.63,0.3,242.0,229.0,112.4,266.0,33.0,828.0,-938.0,-77.0,-494.8,-454.9,-0.96,10.95
ASH,2013-09-01,-436.0,-960.0,524.0,-1.3,8.13,1659.0,21.12,-385.0,-208.0,-381.0,731.0,-4.88,8.43,5.99,0.33,730.0,731.0,466.8,657.0,379.0,-78.0,-275.0,37.0,741.6,711.8,4.57,10.22
