Source,Target
OMC,Communication Services
OMC,Advertising
OMC,Service
IPG,Communication Services
IPG,Advertising
IPG,Service
HHS,Communication Services
HHS,Advertising
HHS,Service
CTL,Communication Services
CTL,Alternative Carriers
CTL,Service
LBTYA,Communication Services
LBTYA,Alternative Carriers
LBTYA,Service
CCOI,Communication Services
CCOI,Alternative Carriers
CCOI,Service
DISCA,Communication Services
DISCA,Broadcasting
DISCA,Entertainment
VIAC,Communication Services
VIAC,Broadcasting
VIAC,Entertainment
GTN,Communication Services
GTN,Broadcasting
GTN,Entertainment
NXST,Communication Services
NXST,Broadcasting
NXST,Entertainment
TGNA,Communication Services
TGNA,Broadcasting
TGNA,Entertainment
SSP,Communication Services
SSP,Broadcasting
SSP,Entertainment
CMCSA,Communication Services
CMCSA,Cable and Satellite
CMCSA,Entertainment
DISH,Communication Services
DISH,Cable and Satellite
DISH,Entertainment
SJR,Communication Services
SJR,Cable and Satellite
SJR,Entertainment
SIRI,Communication Services
SIRI,Cable and Satellite
SIRI,Entertainment
T,Communication Services
T,Integrated Telecommunication Services
T,Service
VZ,Communication Services
VZ,Integrated Telecommunication Services
VZ,Service
KT,Communication Services
KT,Integrated Telecommunication Services
KT,Service
TELNY,Communication Services
TELNY,Integrated Telecommunication Services
TELNY,Service
ATNI,Communication Services
ATNI,Integrated Telecommunication Services
ATNI,Service
TU,Communication Services
TU,Integrated Telecommunication Services
TU,Service
ORAN,Communication Services
ORAN,Integrated Telecommunication Services
ORAN,Service
ATVI,Communication Services
ATVI,Interactive Home Entertainment
ATVI,Entertainment
EA,Communication Services
EA,Interactive Home Entertainment
EA,Entertainment
TTWO,Communication Services
TTWO,Interactive Home Entertainment
TTWO,Entertainment
GLUU,Communication Services
GLUU,Interactive Home Entertainment
GLUU,Entertainment
NTES,Communication Services
NTES,Interactive Home Entertainment
NTES,Entertainment
SINA,Communication Services
SINA,Interactive Media and Services
SINA,Entertainment
BIDU,Communication Services
BIDU,Interactive Media and Services
BIDU,Entertainment
TCEHY,Communication Services
TCEHY,Interactive Media and Services
TCEHY,Entertainment
SOHU,Communication Services
SOHU,Interactive Media and Services
SOHU,Entertainment
DIS,Communication Services
DIS,Movies and Entertainment
DIS,Entertainment
LYV,Communication Services
LYV,Movies and Entertainment
LYV,Entertainment
NFLX,Communication Services
NFLX,Movies and Entertainment
NFLX,Entertainment
CNK,Communication Services
CNK,Movies and Entertainment
CNK,Entertainment
WWE,Communication Services
WWE,Movies and Entertainment
WWE,Entertainment
NYT,Communication Services
NYT,Publishing
NYT,Entertainment
MBT,Communication Services
MBT,Wireless Telecommunication Services
MBT,Service
AMX,Communication Services
AMX,Wireless Telecommunication Services
AMX,Service
TDS,Communication Services
TDS,Wireless Telecommunication Services
TDS,Service
USM,Communication Services
USM,Wireless Telecommunication Services
USM,Service
VOD,Communication Services
VOD,Wireless Telecommunication Services
VOD,Service
SKM,Communication Services
SKM,Wireless Telecommunication Services
SKM,Service
SFTBF,Communication Services
SFTBF,Wireless Telecommunication Services
SFTBF,Service
GPS,Consumer Discretionary
GPS,Apparel Retail
GPS,Material Goods
LB,Consumer Discretionary
LB,Apparel Retail
LB,Material Goods
ROST,Consumer Discretionary
ROST,Apparel Retail
ROST,Material Goods
TJX,Consumer Discretionary
TJX,Apparel Retail
TJX,Material Goods
HBI,Consumer Discretionary
HBI,"Apparel, Accessories and Luxury Goods"
HBI,Material Goods
PVH,Consumer Discretionary
PVH,"Apparel, Accessories and Luxury Goods"
PVH,Material Goods
RL,Consumer Discretionary
RL,"Apparel, Accessories and Luxury Goods"
RL,Material Goods
TPR,Consumer Discretionary
TPR,"Apparel, Accessories and Luxury Goods"
TPR,Material Goods
UAA,Consumer Discretionary
UAA,"Apparel, Accessories and Luxury Goods"
UAA,Material Goods
VFC,Consumer Discretionary
VFC,"Apparel, Accessories and Luxury Goods"
VFC,Material Goods
BWA,Consumer Discretionary
BWA,Auto Parts and Equipment
BWA,Transport
F,Consumer Discretionary
F,Automobile Manufacturers
F,Transport
AAP,Consumer Discretionary
AAP,Automotive Retail
AAP,Transport
